"CardNo","StartDate","Pentad","year","obs"
"2520_2740_013631_20220108",2022-01-08,"2520_2740",2022,0
"2410_2900_006593_20220108",2022-01-08,"2410_2900",2022,0
"2900_2425_000073_20220105",2022-01-05,"2900_2425",2022,0
"2605_2810_016971_20220106",2022-01-06,"2605_2810",2022,0
"3345_1835_002076_20220102",2022-01-02,"3345_1835",2022,0
"2515_2825_021001_20220104",2022-01-04,"2515_2825",2022,0
"2545_2730_012600_20220109",2022-01-09,"2545_2730",2022,0
"2855_3145_020193_20220107",2022-01-07,"2855_3145",2022,0
"2440_2820_016685_20220106",2022-01-06,"2440_2820",2022,0
"2805_3230_020193_20220101",2022-01-01,"2805_3230",2022,0
"3240_2820_001692_20220105",2022-01-05,"3240_2820",2022,0
"2540_2815_000283_20220104",2022-01-04,"2540_2815",2022,0
"3255_2755_021180_20220106",2022-01-06,"3255_2755",2022,0
"2545_2925_002294_20220101",2022-01-01,"2545_2925",2022,0
"2605_2755_001858_20220106",2022-01-06,"2605_2755",2022,0
"2445_2815_019666_20220106",2022-01-06,"2445_2815",2022,0
"3305_1800_015395_20220102",2022-01-02,"3305_1800",2022,0
"3405_2205_018216_20220106",2022-01-06,"3405_2205",2022,0
"3410_2205_018216_20220106",2022-01-06,"3410_2205",2022,0
"2520_3145_010906_20220108",2022-01-08,"2520_3145",2022,0
"2445_2815_019005_20220106",2022-01-06,"2445_2815",2022,0
"3210_1850_000847_20220105",2022-01-05,"3210_1850",2022,0
"2530_2710_013316_20220109",2022-01-09,"2530_2710",2022,0
"3410_2205_011122_20220101",2022-01-01,"3410_2205",2022,0
"3400_2455_010253_20220103",2022-01-03,"3400_2455",2022,0
"3355_2455_010253_20220103",2022-01-03,"3355_2455",2022,0
